oblast,border
http://www.wikidata.org/entity/Q2654,http://www.wikidata.org/entity/Q2448
http://www.wikidata.org/entity/Q2654,http://www.wikidata.org/entity/Q2596
http://www.wikidata.org/entity/Q2654,http://www.wikidata.org/entity/Q2702
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q2246
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q2448
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q2654
http://www.wikidata.org/entity/Q2702,http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q2246
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q2702
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q2792
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q3510
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q3550
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q5340
http://www.wikidata.org/entity/Q2753,http://www.wikidata.org/entity/Q5545
http://www.wikidata.org/entity/Q2792,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2792,http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q2792,http://www.wikidata.org/entity/Q2842
http://www.wikidata.org/entity/Q2792,http://www.wikidata.org/entity/Q3129
http://www.wikidata.org/entity/Q2792,http://www.wikidata.org/entity/Q3510
http://www.wikidata.org/entity/Q2810,http://www.wikidata.org/entity/Q2347
http://www.wikidata.org/entity/Q2810,http://www.wikidata.org/entity/Q2842
http://www.wikidata.org/entity/Q2810,http://www.wikidata.org/entity/Q3129
http://www.wikidata.org/entity/Q2810,http://www.wikidata.org/entity/Q3178
http://www.wikidata.org/entity/Q2810,http://www.wikidata.org/entity/Q167874
http://www.wikidata.org/entity/Q2810,http://www.wikidata.org/entity/Q170446
http://www.wikidata.org/entity/Q2810,http://www.wikidata.org/entity/Q188732
http://www.wikidata.org/entity/Q2810,http://www.wikidata.org/entity/Q189822
http://www.wikidata.org/entity/Q2842,http://www.wikidata.org/entity/Q649
http://www.wikidata.org/entity/Q2842,http://www.wikidata.org/entity/Q1697
http://www.wikidata.org/entity/Q2842,http://www.wikidata.org/entity/Q2347
http://www.wikidata.org/entity/Q2842,http://www.wikidata.org/entity/Q2792
http://www.wikidata.org/entity/Q2842,http://www.wikidata.org/entity/Q2810
http://www.wikidata.org/entity/Q2842,http://www.wikidata.org/entity/Q3129
http://www.wikidata.org/entity/Q3129,http://www.wikidata.org/entity/Q2792
http://www.wikidata.org/entity/Q3129,http://www.wikidata.org/entity/Q2810
http://www.wikidata.org/entity/Q3129,http://www.wikidata.org/entity/Q2842
http://www.wikidata.org/entity/Q3129,http://www.wikidata.org/entity/Q3178
http://www.wikidata.org/entity/Q3129,http://www.wikidata.org/entity/Q3510
http://www.wikidata.org/entity/Q3178,http://www.wikidata.org/entity/Q2810
http://www.wikidata.org/entity/Q3178,http://www.wikidata.org/entity/Q3129
http://www.wikidata.org/entity/Q3178,http://www.wikidata.org/entity/Q3329
http://www.wikidata.org/entity/Q3178,http://www.wikidata.org/entity/Q3447
http://www.wikidata.org/entity/Q3178,http://www.wikidata.org/entity/Q3510
http://www.wikidata.org/entity/Q3178,http://www.wikidata.org/entity/Q170446
http://www.wikidata.org/entity/Q3329,http://www.wikidata.org/entity/Q3178
http://www.wikidata.org/entity/Q3329,http://www.wikidata.org/entity/Q3447
http://www.wikidata.org/entity/Q3329,http://www.wikidata.org/entity/Q170446
http://www.wikidata.org/entity/Q3329,http://www.wikidata.org/entity/Q170666
http://www.wikidata.org/entity/Q3329,http://www.wikidata.org/entity/Q171965
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q3178
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q3329
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q3510
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q3550
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q3573
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q3819
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q5334
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q42072
http://www.wikidata.org/entity/Q3447,http://www.wikidata.org/entity/Q171965
http://www.wikidata.org/entity/Q3510,http://www.wikidata.org/entity/Q2753
http://www.wikidata.org/entity/Q3510,http://www.wikidata.org/entity/Q2792
http://www.wikidata.org/entity/Q3510,http://www.wikidata.org/entity/Q3129
